N;Tagging year;Tagging date;Release time after tagging;Capture_site;Capture site detailed;Col_lat;Col_lon;PTT;id;Seal ID;Sex;Weight (kg);Length (cm);Girth (cm);Tagging date;Last position;N days
1;2017;25.08.2017;;Jomfruland;NE of Gjesskæra, Jomfruland;58,8644094;9,571337;44051227;pv35b-04-11;M82_Spreking;M;82;162;115;25.08.2017;28.08.2017;3
2;2017;25.08.2017;;Jomfruland;NE of Gjesskæra, Jomfruland;58,8644094;9,571337;44070825;pv35b-05-11;F59_Tørt;F;59;137;102;25.08.2017;31.12.2017;128
3;2017;25.08.2017;;Jomfruland;Ødegårdskilen, Jomfruland;58,8635598;9,5265067;44046783;pv35b-06-11;M72_Terje44;M;72;149;126;25.08.2017;16.09.2017;22
4;2017;25.08.2017;;Jomfruland;Ødegårdskilen, Jomfruland;58,8635598;9,5265067;44882236;pv35b-08-11;M72_Snorking;M;72;149;114;25.08.2017;04.09.2017;10
5;2017;25.08.2017;;Jomfruland;Ødegårdskilen, Jomfruland;58,8635598;9,5265067;44046784;pv35b-09-11;M87_Ødi;M;87;150;122;25.08.2017;26.08.2017;1
6;2017;25.08.2017;;Jomfruland;Ødegårdskilen, Jomfruland;58,8635598;9,5265067;44882237;pv35b-10-11;F31_Buster-Pia;F;31;115;81;25.08.2017;27.10.2017;63
7;2019;14.11.2019;12:30;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;12872;pv68-M42_Einar-14;M39_Einar;M;39;116;;14.11.2019;28.02.2020;106
8;2019;14.11.2019;12:50;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;12873;pv68-M47_Vemund-14;M44_Vemund;M;44;122;;14.11.2019;26.12.2019;42
9;2019;14.11.2019;14:10;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;12910;pv68-F53_Iris-14;F50_Iris;F;50;120;;14.11.2019;29.03.2020;136
10;2019;14.11.2019;13:53;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;13097;pv68-F56_Karin-14;F53_Karin;F;53;125;;14.11.2019;21.03.2020;128
11;2019;14.11.2019;13:58;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;13098;pv68-M40_Pedro-14;M37_Pedro;M;37;113;;14.11.2019;12.03.2020;119
12;2020;19.09.2020;15:57;Hvaler;Flatekollen, Hvaler;58,9848651;10,8225741;20018;pv74-M62_Gamle-Erik-20;M59_Gamle-Erik;M;59;128;97;19.09.2020;03.01.2021;106
13;2020;14.11.2020;09:09;Jomfruland;Ødegårdskilen, Jomfruland;58,8635598;9,5265067;20019;pv74-M86_Bjorn-20;M83_Bjørn;M;83;156;112;14.11.2020;12.02.2021;90
14;2020;14.11.2020;09:18;Jomfruland;Ødegårdskilen, Jomfruland;58,8635598;9,5265067;20020;pv74-F46_Olivia-20;F43_Olivia;F;43;112;82;14.11.2020;16.03.2021;122
15;2020;14.11.2020;09:56;Jomfruland;Ødegårdskilen, Jomfruland;58,8635598;9,5265067;20021;pv74-M70_Osito-20;M67_Osito;M;67;137;104;14.11.2020;20.03.2021;126
16;2020;14.11.2020;10:03;Jomfruland;Ødegårdskilen, Jomfruland;58,8635598;9,5265067;20022;pv74-M88_Diego-20;M85_Diego;M;85;135;111;14.11.2020;02.04.2021;139
17;2021;23.09.2021;13:25;Askeroy;Selskjær, Askerøy;58,6171945;9,0740524;20025;pv76-M83_Ra-20;M80_Ra;M;80;160;118;23.09.2021;28.01.2022;127
18;2021;23.09.2021;13:45;Askeroy;Selskjær, Askerøy;58,6171945;9,0740524;20026;pv76-M78_Rulle-20;M75_Rulle;M;75;121;106;23.09.2021;15.01.2022;114
19;2021;23.09.2021;14:03;Askeroy;Selskjær, Askerøy;58,6171945;9,0740524;20027;pv76-M94_Morene-20;M91_Morene;M;91;146;116;23.09.2021;20.03.2022;178
20;2022;22.09.2022;13:37;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20028;pv77-028-20;M75_Rauer;M;75;145;107;22.09.2022;12.01.2023;112
21;2022;22.09.2022;13:37;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20029;pv77-029-20;M73_Svarten;M;73;139;109;22.09.2022;07.01.2023;107
22;2022;22.09.2022;14:10;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20030;pv77-030-20;M86_Knappen;M;86;147;110;22.09.2022;19.11.2022;58
23;2022;28.09.2022;13:12;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20064;pv77-064-21;M79_Nuvle;M;79;138;107;28.09.2022;10.02.2023;135
24;2022;28.09.2022;13:34;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20065;pv77-065-21;M62_Bøle;M;62;134;101;28.09.2022;26.01.2023;120
25;2022;28.09.2022;13:35;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20066;pv77-066-21;M81_Galten;M;81;142;102;28.09.2022;01.01.2023;95
26;2022;28.09.2022;13:35;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20067;pv77-067-21;M87_Bassen;M;87;145;114;28.09.2022;25.11.2022;58
27;2022;28.09.2022;14:10;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20068;pv77-068-21;F36_Tova;F;36;111;82;28.09.2022;21.01.2023;115
28;2022;28.09.2022;14:30;Bolaerne;Flatskjær, Bolærne;59,1926596;10,5830844;20023;pv77-023-20;M67_Stampa;M;67;148;99;28.09.2022;13.02.2023;138
